S,D1,D2,D3,D4,D5,D6,D7,C
R,0,0,0,0,0,0,0,Y
R,0,180.73,274.91,1.13,54.15,0,0.76,N
R,0,98.55,338.31,0,0,0,0,N
R,754.91,1715.87,1541.69,818.13,1423.75,2371.16,490.85,N
R,205.63,14.99,144.29,297.9,226.89,712.33,123.95,N
R,0,0,0,0,3,0,0,N
R,156.52,38.12,407.51,622.96,212.14,756.16,450.39,N
R,0,0,0,0,0,0,0,Y
R,0,0.75,0,0,0,0,0.61,N
R,2859.64,129.65,430.83,979.3,1850.38,4252.87,2406.37,N
R,0,0,0,0,0,0,0,Y
R,115.83,193.35,289.23,386.45,2626.43,3751.43,3538.39,N
R,0,2.41,2.53,3.92,11.17,0,5.58,N
R,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,1247.95,236.77,0,0,0,0,0,N
R,56.97,25.38,13.58,50.82,54.79,64.88,95.49,N
R,0,0,0,0,0,0,0,Y
R,0,9.98,0,1.26,0,0.56,0,N
R,0,0,0,0,0,0,0,Y
R,8732.2,594.27,30.39,8269.92,754.05,102.38,3699.84,N
R,0,0,0,18.74,0,0,0,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,44.96,147.62,0,0,0,0,N
R,699.24,39.36,197.76,231.03,0,404.42,4.42,N
R,0,0,0,0,0,0,0,Y
R,0,1.14,0,1.29,0,14.49,0,N
R,0,0,0,0,0,0,0,Y
PF,7.49,0,0,7.49,0,0,12.52,N
R,0,0,0,0,166.46,161.1,176.5,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0.17,0.2,1.61,0.36,0.75,3.89,0.43,N
R,0,0,0,0,0,0,0,Y
R,0,0,1.04,0,0,0,0.48,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,1.01,N
R,230.54,150.06,93.6,379.71,304.96,252.04,272.14,N
R,145.4,110.16,313.13,186.36,6.48,66.51,169.82,N
